"Surface","Web behavior","iOS behavior","Score","Concrete fix","Files"
"Homepage hero","On Drama the hero rotates the SIX pinned FEATURED_NEW titles (lost-and-found, help-im-falling-in-love-with-my-rude-ceo, tied-by-fate, twist-of-time, the-inheritance-game, billionaire-daughters-love-triangle) in a 2:3 card on a #000 ground, object-contain, 4s auto-rotate, dots, and a real 3-layer crossfade (prev/active/next mounted). Suppressed entirely on Espanol and Bollywood.","Hero is filtered.slice(0,4) - the first FOUR of the locked set, i.e. four titles the web hero never shows. 9:16 card, single <Image> swap (hard cut, no crossfade). Renders on Espanol and Bollywood too, where web deliberately has no hero.","MAJOR GAP","In BrowsePage.tsx replace `const heroSlides = filtered.filter(...).slice(0, 4)` (line 294-296) with a memo that, on activeTab === 'drama', maps the six FEATURED_NEW slugs out of `filtered` (mirroring web BrowsePage.tsx:451-459) and falls back to pool.slice(0,6); on other tabs use pool.slice(0,4). Add `activeTab !== 'espanol' && activeTab !== 'bollywood'` to the hero render condition at line 779-783 to match web BrowsePage.tsx:1069. Mount prev/active/next Animated.Image layers instead of one <Image> so slides crossfade.","verza-native/src/components/BrowsePage.tsx:294-296,779-783 | verza-tv/components/BrowsePage.tsx:66-73,451-459,1069,1090-1140"
"First six NEW titles + NEW badges","NEW is POSITIONAL: slots 1-6 of a curated tab (drama, espanol, bollywood only) get a New badge, and only when the tab has >= 4 playable titles. On Drama the six are pinned by the FEATURED_NEW array, so badge and ordering cannot disagree. Coming-soon tiles get a neutral 'Coming Soon' badge instead and can never carry New.","NEW is DATA-DRIVEN off a hardcoded LOCKED_NEW_SLUGS set of six COMPLETELY DIFFERENT titles: the-phoenix-conspiracy, twisted-fates, the-chauffeur, conflicted-hearts, school-hall, my-sister-stole-my-man. Not one of the web six is badged. No positional rule, no MIN_PLAYABLE guard, no Coming Soon badge in the grid. Espanol/Bollywood get no New badges at all.","MAJOR GAP","Replace LOCKED_NEW_SLUGS (BrowsePage.tsx:46-54) with web's FEATURED_NEW array verbatim, and replace the slug test at line 893 (`LOCKED_NEW_SET.has(s.slug) ? <Badge type=""new""/> : null`) with web's positional rule: add NEW_SLOTS=6, TRENDING_START/END, NEW_BADGE_TABS=new Set(['drama','espanol','bollywood']), MIN_PLAYABLE_FOR_BADGES=4 and compute `isNew = badgesApply && !soon && curated && i < NEW_SLOTS` from the map index. Add the third Badge variant `soon` to the Badge component at line 98-113.","verza-native/src/components/BrowsePage.tsx:46-54,98-113,271-277,893 | verza-tv/components/BrowsePage.tsx:66-73,109-137,176-232,617-618,1246-1256"
"Trending badge shelf (slots 7-9)","Slots 7-9 of Drama are PINNED by popularRank and badged Trending (#E0115F). Since Hot was folded into Drama on 2026-09-01 this is the only ranked surface left in the product.","No Trending badge is rendered anywhere. The Badge component supports type 'trending' but nothing ever passes it. Slots 7+ are pure shuffle output.","MINOR GAP","In the Drama branch of the `filtered` memo (BrowsePage.tsx:262-278) append web's second head shelf after the pinned six: `...base.filter(x => x.popularRank && !FEATURED_NEW.includes(x.slug)).sort((a,b)=>(a.popularRank??99)-(b.popularRank??99)).slice(0,3)`, then render `<Badge type=""trending""/>` for grid indices 6..8 at line 893.","verza-native/src/components/BrowsePage.tsx:262-278,893 | verza-tv/components/BrowsePage.tsx:437-449,1252-1256"
"Category navigation / tab rail","9 tabs, no Hot: Drama, Tubi, Anime, Espanol, Bollywood, Reality, Creators, Red Carpet, Music. Hot was folded into Drama on 2026-09-01 because every title it ranked was already in the Drama grid; the 'popular' CATEGORY survives for search/discover but is no longer a tab.","10 canonical tabs including { key: 'popular', label: 'Hot' }; after the iOS reader filter the bar renders 5: Drama, HOT, Espanol, Bollywood, Red Carpet. Hot resolves to ~20 titles on iOS so it does not auto-drop. Tubi/Creators/Reality/Music/Anime absences are compliance-driven and correct; Hot is real drift.","MAJOR GAP","Delete `{ key: ""popular"", label: ""Hot"" }` from BROWSE_TABS (catalog.ts:22) and from ALL_DISCOVER_TABS (BrowsePage.tsx:62), and delete the `if (activeTab === 'popular')` branch of the `filtered` memo (BrowsePage.tsx:279-291). The release gate hardcodes the old order and will fail until updated: change the canonical assertion at test-data-sync.mjs:156 to ['drama','tubi','anime','espanol','bollywood','reality','creators','red-carpet','music'] and the native assertion at :173 to the same list minus 'tubi'.","verza-native/src/lib/catalog.ts:22 | verza-native/src/components/BrowsePage.tsx:57-75,279-291 | verza-native/scripts/test-data-sync.mjs:156,173 | verza-tv/lib/catalog.ts:20-52"
"Tab rail - overflow affordance","The rail paints 28px gradient edge fades in the bar's own colour (rgba(7,7,14)) whenever there is track left/right, measured with a ResizeObserver + scroll listener and an EDGE_EPSILON of 2 for fractional DPR. Testers read a hard-cut 'ESPAN' as a broken label; the fade is what says the row scrolls.","No edge fades. The rail centres the active tab on change (parity) and adds haptics (native-only bonus), but a label clipped at the boundary reads as truncated.","MINOR GAP","Wrap the ScrollView in CategoryTabs.tsx (line 68-84) in a positioned <View> and add two absolutely-positioned <LinearGradient> siblings (width 28, pointerEvents='none') painted in rgba(7,7,14) -> transparent, driven by onScroll + onContentSizeChange state mirroring web's `overflow` {left,right} with the same 2px epsilon.","verza-native/src/components/CategoryTabs.tsx:68-118 | verza-tv/components/CategoryTabs.tsx:22-35,55-90,131-142,220-243"
"Drama grid composition","TAB_EXCLUSIVE subtracts espanol, bollywood, reality and red-carpet from the Drama grid, plus too-much-junk. Drama renders 75 tiles, all English-audio. A Spanish or Hindi title in the English Drama grid is treated as a content mismatch, not a bonus.","The Drama base filter only excludes reality, red-carpet and too-much-junk. All 5 Spanish (-es) titles and all 6 Hindi Bollywood titles leak into Drama, giving 86 tiles. A viewer taps an English lockup in the English grid and gets Hindi or Spanish dialogue, with no audio-language chip anywhere on native to warn them.","MAJOR GAP","In BrowsePage.tsx:263-269 add web's TAB_EXCLUSIVE list and swap the filter to `!TAB_EXCLUSIVE.some(c => s.categories.includes(c))`: const TAB_EXCLUSIVE: BrowseCategory[] = ['espanol','bollywood','reality','red-carpet']. Verified counts: native 86 -> 75, matching web exactly. Leaked slugs: sentence-of-passion-es, i-cheated-on-my-wedding-night-es, i-fell-in-love-with-my-presidential-brother-in-law-es, the-goat-mistress-es, im-having-my-professors-baby-es, falling-for-flatmate, dil-dosa-dosti, salt-and-pepper, love-for-sale, the-breakup-podcast, reset.","verza-native/src/components/BrowsePage.tsx:263-269 | verza-tv/components/BrowsePage.tsx:55,404-411"
"Espanol tab","6 tiles (5 playable + 1 coming-soon), rendered as a 2-up grid of large flyers (grid-cols-2 gap-2.5) because the 9:16 key art reads poorly at 33vw. No hero. Catalogue order, never shuffled, playable-first. Positional New badges. An audio-language chip on every non-English tile.","5 tiles (coming-soon row dropped by the reader policy - correct), rendered in the shared 3-column grid at gridCellW. A hero IS shown. The five titles are reshuffled on every open. No badges. No audio-language chip. The same five also appear in the Drama grid.","MAJOR GAP","Port web's `twoUp` flag: `const twoUp = activeTab === 'espanol' || activeTab === 'bollywood'` and size the tile to rcCellW (already computed at BrowsePage.tsx:236) instead of gridCellW in the grid at line 879-905. Stop shuffling curated tabs: in the `filtered` memo add web's CURATED_MAX=12 short-circuit that returns playableFirst(base) without a shuffle. Exclude espanol/bollywood from the hero condition at line 779-783.","verza-native/src/components/BrowsePage.tsx:236,279-293,779-783,873-905 | verza-tv/components/BrowsePage.tsx:420-431,612,1219-1224,1069"
"Bollywood tab","10 tiles (6 playable Hindi titles + 4 coming-soon), same 2-up large-flyer grid, no hero, catalogue order, positional New badges, and a Hindi audio chip on every tile - added specifically because six Hindi titles ship behind English lockups and English loglines and a buyer found out after paying.","6 tiles, 3-column grid, hero shown, shuffled every open, no badges, and NO Hindi audio chip on any surface in the app. The same six also appear in the Drama grid. The 4 coming-soon rows are dropped by the iOS reader policy (correct).","MAJOR GAP","Same three edits as the Espanol row (twoUp grid, curated no-shuffle, hero exclusion) plus the audio-language chip - see the 'Audio-language disclosure' row. Coming-soon tile count stays at 6 on iOS by design (src/lib/ios-reader-catalog.ts:18-23 requires status === 'live').","verza-native/src/components/BrowsePage.tsx:279-293,779-783,873-905 | verza-native/src/lib/ios-reader-catalog.ts:18-23 | verza-tv/components/BrowsePage.tsx:612,1219-1224"
"Audio-language disclosure","<AudioLanguageBadge> renders on EVERY browse tile whose audio is not English (compact chip over the poster) and on EVERY series detail page (full 'Hindi audio' / 'Spanish audio - English subtitles' line under the genre row). lib/audio-language.ts derives it from the catalog row.","Neither component nor library exists: src/components/AudioLanguageBadge.tsx and src/lib/audio-language.ts are both absent. Nothing on iOS states the spoken language of the 6 Hindi and 5 Spanish titles - not on the tile, not on the detail page, not in the player - and those 11 titles are also mixed into the English Drama grid.","MAJOR GAP","Port verza-tv/lib/audio-language.ts and verza-tv/components/AudioLanguageBadge.tsx to src/lib/ and src/components/ (Tailwind -> StyleSheet). Mount the compact chip inside the poster box at BrowsePage.tsx:892 guarded by `tileLanguage.audio !== 'en'`, and mount the full badge on the detail page between the genre row (index.tsx:250-260) and the logline (index.tsx:262), matching web's placement. Add the missing i18n keys 'language.audio' and 'language.audioSubs' to all 19 locales in src/lib/i18n.ts.","verza-native/src/components/BrowsePage.tsx:892 | verza-native/src/app/series/[slug]/index.tsx:250-262 | verza-native/src/lib/i18n.ts | verza-tv/components/AudioLanguageBadge.tsx | verza-tv/lib/audio-language.ts | verza-tv/components/BrowsePage.tsx:1274-1276 | verza-tv/app/series/[slug]/page.tsx:200"
"Continue Watching rail","Footer of EACH SECTION, filtered to that tab's own titles (membership derived from the same `filtered` list the grid is built from). Guests get a rail too - mergeContinueWatching() falls back to device-local progress when the account returns nothing. Progress bar is real seconds/duration. Every tile is removable by an X or a swipe-up, without deleting the playhead.","Single rail at the TOP of the page, shown on every tab except Creators with no per-section filtering, so a Bollywood title surfaces above the Espanol grid. `if (typeof requestedUserId !== 'string')` means a signed-out viewer NEVER sees a rail - and the free preview is open to guests, so the people most likely to have an unfinished episode are exactly the ones who get nothing. Progress bar is episodeNumber/totalEpisodes, not playback position. No dismiss.","MAJOR GAP","Move the rail block (BrowsePage.tsx:473-525) below the poster grid; filter it with `const tabSlugs = new Set(filtered.map(s => s.slug))` as web does. Add a guest branch to the useFocusEffect at :341-405 that reads device-local progress via src/lib/storage.ts when authUserId is null. Select progress_seconds in the Supabase query at :348 and compute the bar from getEpisode(slug, n).durationS. Add an X control (44x44, outside the <Link>) plus a swipe-up dismiss writing a dismissed-slug list to kv.","verza-native/src/components/BrowsePage.tsx:341-405,473-525 | verza-tv/components/BrowsePage.tsx:641-664,1348-1424 | verza-tv/lib/continue-watching.ts | verza-tv/lib/guest-storage.ts"
