Route,Purpose,DataSource,Auth,Status,Notes
/,Home browse (6 category tabs + hero),SSG (lib/catalog) + client fetch /api/watch-progress,None,Production Ready,"Linked: BottomNav Home. BrowsePage.tsx client component; tab state via ?tab= param; live 200"
/about,Company about page (SEO),SSG (static + lib/catalog count),None,Production Ready,Linked: Footer
/admin/dashboard,Executive analytics dashboard,Client fetch /api/admin/stats (Supabase + Stripe),Admin (Bearer token; ADMIN_EMAILS allowlist),Working but Untested,"Orphaned by design (no nav link, noindex); page shell publicly reachable (200) but data 403-gated"
/admin/review,Creator application + content review queue,Client fetch /api/admin/review + /api/admin/creators,Admin (Bearer token),Working but Untested,Orphaned by design; approve/reject actions live
/alan-mruvka,Founder SEO hub,SSG (lib/data/alan),None,Production Ready,Linked: FooterSitemap Founder section
/alan-mruvka/[slug],Founder SEO subpages (~7),SSG (lib/data/alan),None,Production Ready,Linked: FooterSitemap
/best,Best-of list hub (SEO),SSG (lib/data/best-lists + catalog),None,Production Ready,Linked: FooterSitemap
/best/[slug],Individual best-of lists (~17),SSG,None,Production Ready,Linked: FooterSitemap
/brand-assets,Brand/press asset guidelines,SSG (lib/data/company),None,Production Ready,Linked: FooterSitemap
/c/[slug],Clip share deep-link pages,SSG (lib/clips — small hardcoded clip set),None,Working but Untested,Orphaned from nav (external share use); depends on real playbackIds in lib/clips.ts
/careers,Careers page,SSG (lib/data/company OPEN_ROLES),None,Production Ready,Linked: FooterSitemap; roles are hardcoded data
/channels,Channel directory,SSG (lib/catalog getChannels),None,Production Ready,Linked: FooterSitemap + LibraryPage
/collections,Collections hub (SEO),SSG (lib/data/collections),None,Production Ready,Linked: FooterSitemap
/collections/[slug],Curated collections (~14),SSG,None,Production Ready,Linked: FooterSitemap
/company,Company overview hub,SSG,None,Production Ready,Linked: FooterSitemap
/compare,Comparison hub (SEO),SSG (lib/data/compare),None,Production Ready,Linked: FooterSitemap
/compare/[slug],VERZA vs competitor pages (~8),SSG,None,Production Ready,Linked: FooterSitemap
/contact,Contact emails page,SSG (hardcoded contacts),None,Production Ready,Linked: FooterSitemap; mailto links only — no contact form
/creator,Creator dashboard (LEGACY duplicate of /studio),Client (CreatorDashboard → /api/creator/*),Supabase session (client-checked),Partial,"ORPHANED — zero internal links; duplicate of /studio minus AI tools; app/creator/page.tsx"
/dev/perf,Performance test harness,Client (PerfHarness),None,Blocked,Gated by PERF_TEST_MODE — returns 404 in production (verified live 404); dev-only by design
/discover,Browse/discover hub,SSG (lib/catalog BROWSE_TABS),None,Production Ready,Linked: FooterSitemap Watch section
/discover/[genre],Category browse pages (per BROWSE_TABS),SSG,None,Production Ready,Linked from /discover
/editorial-standards,Editorial standards (SEO/trust),SSG (hardcoded sections),None,Production Ready,Linked: FooterSitemap
/founder,Founder bio page,SSG,None,Production Ready,Linked: FooterSitemap (Founder's Note)
/genre/[genre],OLDER genre SEO pages (romance/revenge/etc),SSG (GENRE_DATA hardcoded in page),None,Working but Untested,"No internal links anywhere (grep href=\"/genre/\" = 0) — reachable only via sitemaps/genres.xml; duplicates /genres/[slug] and /discover/[genre] — 3 parallel genre systems"
/genres,Genre hub (SEO),SSG (lib/content/genres 27 approved hubs),None,Production Ready,Linked: FooterSitemap
/genres/[slug],Genre hub pages (27),SSG,None,Production Ready,Linked: FooterSitemap
/guides,Guides hub (SEO),SSG (lib/data/guides ~10),None,Production Ready,Linked: FooterSitemap
/guides/[slug],Individual guides,SSG,None,Production Ready,Linked: FooterSitemap
/help,FAQ / help center,SSG (FAQ_ITEMS hardcoded),None,Production Ready,Linked: Footer + /me
/horizontal,Storage Pirates landscape feed (LEGACY),Client (HorizontalFeed ← lib/horizontal-map static),None,Partial,"ORPHANED — reality tab now links /series/storage-pirates/1 instead; only self-referencing canonical; still live (200)"
