"Surface","Score","Web","iOS","Verified by","Note / remaining work"
"Backend / Supabase","MATCHED","Canonical project mmvbm...","Same project after env fix","Live probe: /api/health 200 ok:true; tagged row written through prod and found by direct query","Was a split brain until 2026-09-07"
"Auth","MATCHED","GoTrue on canonical project","Same","Live: 400 invalid_credentials to a fake login from the site's own origin","Native .env still names the retired project in docs; EAS env is the authority"
"Stripe / webhook / purchases / entitlements","N/A","Stripe Checkout, 19 events, endpoint 400s unsigned","iOS uses StoreKit, a separate path","Stripe API readback; webhook enabled, 0 pending","Platform boundary, not a gap. 12 of 86 Apple products unprovisioned"
"Drama","MATCHED","76 tiles, 0 non-English","76 tiles, 0 non-English","Both catalog modules executed","Fixed this sprint"
"Espanol","MATCHED","5 playable + slate","Same 5","Catalog module","-"
"Bollywood","MATCHED","6 playable + slate","Same 6","Catalog module","-"
"Anime","N/A","Coming Soon placeholder","Auto-dropped at 0 titles","Code","iOS drops empty categories by design"
"Reality","N/A","Own tab","Auto-dropped (Storage Pirates iOS-excluded)","Code","Compliance exclusion"
"Genre hubs","MATCHED","drama:25 romance:37 thriller:17 comedy:3","Identical","Both modules executed","Fixed this sprint; 11 -> 0 non-English"
"Search","MATCHED","Global, language badge on non-English","Global, same chip","Code + grep for forGenreHub (absent in both)","Deliberately exempt from the hub rule"
"Related / recommended","MATCHED","No separate recommender; surfaces are the hubs","Same","Code","Inherits the hub rule"
"Promoted six","MATCHED","FEATURED_NEW","Same six, same order","Both modules; 6/6 resolve","Fixed this sprint. Order not seen on device"
"Hero","MINOR GAP","Rotates the six, 3-layer crossfade","Rotates the same six; single-image swap, no crossfade","Code","Set matches; transition style still differs"
"NEW badges","MINOR GAP","Positional, slots 1-6, MIN_PLAYABLE guard","Data-driven off the locked set","Code","Same six are badged; the RULE still differs"
"Language chips (tile)","MINOR GAP","AudioLanguageBadge compact","Equivalent chip, bottom-left","Runtime: 5 Spanish / 6 Hindi / 80 none","Placement over real art NOT seen"
"Detail language disclosure","MINOR GAP","Full sentence badge","Same strings","Runtime string check","Not seen on device"
"Purchase language disclosure","MINOR GAP","Shown before checkout","Shown on detail page above Unlock","Code","Not walked through on device"
"Player loading / buffering","MINOR GAP","Stall ladder 1.5s -> 25s","Single spinner at 1.5s","Code","NEVER SEEN RUN. Highest-value QA item"
"Player error state","MINOR GAP","Route error boundary + ladder","Error card: Try Again / Go Back","Code","NEVER SEEN RUN"
"Retry","MINOR GAP","Reload / rebuild rungs","Re-requests source via existing nonce, same player","Code","NEVER SEEN RUN"
"Episode transition","MATCHED","BLACK GAP ~0.9-1.5s (web defect)","Poster holds, cross-fades","Code + animated initial values","Native is BETTER than web here"
"Scrubber / seek","BLOCKED","44px scrub strip + hold-to-seek","Read-only, pointerEvents none","Code + median duration 87s","Deferred: gesture architecture. Prefer hold-to-seek"
"Autoplay / next episode","MINOR GAP","Settle-handler advance","playToEnd guarded by startedRef","Code","Not exercised on device"
"Analytics","MAJOR GAP","track() -> Vercel (working funnel)","emit() -> /api/events -> Supabase only","Vercel API + code","No Vercel on native. Milestones/sign-in unemitted both sides"
"Library / saved","MINOR GAP","Server + guest merge","Server-backed","Code","Not exercised"
"Profile","MINOR GAP","Full account surface","Reduced (no VIP/creator on iOS)","Code","Compliance-driven"
"Bottom navigation","MATCHED","n/a (web nav)","Discover/Shorts/Shop/Library/Profile","Code","-"
"Device QA","MAJOR GAP","n/a","NOTHING visually verified","-","No simulator or EAS build cut this session"
"TestFlight readiness","BLOCKED","n/a","Blocked on the $1.99 web test","-","Then device QA, then cut one consolidated build"
